model,condition,n_predictions,nll_raw,nll_ts
yolov8,clean,857,0.24504454420229554,0.22911083320944234
yolov8,gaussian_noise_S1,564,0.5025662396275961,0.35462086537979337
yolov8,gaussian_noise_S2,206,0.004338168800843277,0.026314126095081023
yolov8,gaussian_noise_S3,78,0.0026582478150432905,0.02068223861962433
yolov8,gaussian_noise_S4,36,0.0026214541790951012,0.0208511133842879
yolov8,gaussian_noise_S5,13,0.0014075290450540731,0.014889228341345753
yolov8,motion_blur_S1,1350,0.4342846854066844,0.32818897839311334
yolov8,motion_blur_S2,1156,0.4593928639972159,0.33488533233569745
yolov8,motion_blur_S3,1200,0.4529737900915667,0.3317930650037434
yolov8,motion_blur_S4,1194,0.4882917099598883,0.35620839577535224
yolov8,motion_blur_S5,1052,0.37306149457624044,0.27574708355633093
yolov8,brightness_variation_S1,876,0.23972709970300612,0.22546860539726896
yolov8,brightness_variation_S2,880,0.23545632388067597,0.22336836095529516
yolov8,brightness_variation_S3,926,0.257499345903878,0.23615141430575048
yolov8,brightness_variation_S4,1034,0.2684806963380769,0.2397058338396283
yolov8,brightness_variation_S5,1112,0.27297641328032834,0.24206564412850118
yolov8,jpeg_compression_S1,914,0.31375422243627055,0.2726752684801388
yolov8,jpeg_compression_S2,1083,0.29986208161190475,0.2576119543245337
yolov8,jpeg_compression_S3,1208,0.2964194473780172,0.2519980093748491
yolov8,jpeg_compression_S4,1756,0.29382163452959664,0.2401270688632632
yolov8,jpeg_compression_S5,2368,0.20904837706003818,0.18006094390286567
rtdetr,clean,10050,0.08380019410086693,0.08236653590343763
rtdetr,gaussian_noise_S1,10050,0.04354029279114153,0.035488409040776846
rtdetr,gaussian_noise_S2,10050,0.040977039046232816,0.032314964146571507
rtdetr,gaussian_noise_S3,10050,0.04047355016643616,0.03178945955198546
rtdetr,gaussian_noise_S4,10050,0.040185003271569195,0.031527998919477725
rtdetr,gaussian_noise_S5,10050,0.03684368085475579,0.02856226036059961
rtdetr,motion_blur_S1,10050,0.09195589127918673,0.08712239484165656
rtdetr,motion_blur_S2,10050,0.11221114640586002,0.10993592174016804
rtdetr,motion_blur_S3,10050,0.09129140875501913,0.08746223360844603
rtdetr,motion_blur_S4,10050,0.11211765493061825,0.1101919856705244
rtdetr,motion_blur_S5,10050,0.10007757340085342,0.0979358216854272
rtdetr,brightness_variation_S1,10050,0.08400618970177796,0.08291998596219982
rtdetr,brightness_variation_S2,10050,0.09092214770213866,0.09079488170418801
rtdetr,brightness_variation_S3,10050,0.0949948759651499,0.0954619904629884
rtdetr,brightness_variation_S4,10050,0.10393467687198885,0.10526950751496793
rtdetr,brightness_variation_S5,10050,0.10215981763443925,0.1033618815218076
rtdetr,jpeg_compression_S1,10050,0.09719357579595124,0.09668448785626071
rtdetr,jpeg_compression_S2,10050,0.0949277148775638,0.09420449428228313
rtdetr,jpeg_compression_S3,10050,0.09877564315827057,0.0982751269176482
rtdetr,jpeg_compression_S4,10050,0.09844884945404632,0.09783107274098897
rtdetr,jpeg_compression_S5,10050,0.09287773032357292,0.09185049921908384
